ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	subunits(Gene name)	Subunits comment	PubMed ID	Complex comment	Disease comment	SWISSPROT organism	subunits(Gene name syn)	subunits(Protein name)
2925	Respiratory chain complex I (lambda subunit) mitochondrial	Bovine	NADH:ubiquinone oxidoreductase (EC 1.6.5.3) lambda subunit	None	O97725;P04394;P15690;P17694;P23709;P23934;P23935;P25708;P25712;P42026;P42028;Q02370;Q02375;Q05752;Q8HXG6;Q95KV7	281742;None;288380;327697;287327;327691;327714;287014;327717;338079;287027;None;327680;338063;326346;338084	MI:0276-blue native page;MI:0063-prediction	GO:0006461;GO:0006818;GO:0022904;GO:0005743;GO:0006119;GO:0009060	protein complex assembly;hydrogen transport;respiratory electron transport chain;mitochondrial inner membrane;oxidative phosphorylation;aerobic respiration	14.10;20.01.15;02.11.07;70.16.05;02.13.03	assembly of protein complexes;electron transport;regulation of electron transport and membrane-associated energy conservation;mitochondrial inner membrane;aerobic respiration	NDUFA12;NDUFV2;NDUFS1;NDUFS2;NDUFS3;NDUFS6;NDUFA5;NDUFV1;NDUFV3;NDUFS7;NDUFS8;NDUFA2;NDUFS4;NDUFA7;NDUFA11;NDUFA13	None	15317750	Complex I couples the transfer of two electrons from NADH to ubiquinone to the translocation of four protons across the mitochondrial inner membrane.Complex I  is an L-shaped molecule with one arm embedded in the mitochondrial inner membane and one arm protruding into the matrix, the peripheral arm.The assembly of complex I is a semi-sequential process in which different preassembled subcomplexes are joined to form the holoenzyme.	None	Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine)	None;None;None;None;None;None;None;UQOR1;None;None;None;None;None;CI-B14-5A;None;GRIM19	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12;NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial;NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial;NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial;NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial;NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5;NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial;NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial;NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial;NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2;NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13
2926	Respiratory chain complex I (gamma subunit) mitochondrial	Bovine	NADH:ubiquinone oxidoreductase (EC 1.6.5.3) gamma subunit	None	P03887;P03892;P03898;P03902;P03924;P34942;P34943;P42029;Q02366;Q02371;Q02376;Q02377;Q02379	None;None;3283884;3283885;3283888;338060;404188;327710;327670;338064;282289;None;338057	MI:0276-blue native page;MI:0063-prediction	GO:0006461;GO:0006818;GO:0022904;GO:0005743;GO:0006119;GO:0009060	protein complex assembly;hydrogen transport;respiratory electron transport chain;mitochondrial inner membrane;oxidative phosphorylation;aerobic respiration	14.10;20.01.15;02.11.07;70.16.05;02.13.03	assembly of protein complexes;electron transport;regulation of electron transport and membrane-associated energy conservation;mitochondrial inner membrane;aerobic respiration	MT-ND1;MT-ND2;MT-ND3;MT-ND4L;MT-ND6;NDUFA10;NDUFA9;NDUFA8;NDUFA6;NDUFA3;NDUFC1;NDUFA1;NDUFS5	None	15317750	Complex I couples the transfer of two electrons from NADH to ubiquinone to the translocation of four protons across the mitochondrial inner membrane.Complex I  is an L-shaped molecule with one arm embedded in the mitochondrial inner membane and one arm protruding into the matrix, the peripheral arm.The assembly of complex I is a semi-sequential process in which different preassembled subcomplexes are joined to form the holoenzyme.	None	Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine)	MTND1 NADH1 ND1;MTND2 NADH2 ND2;MTND3 NADH3 ND3;MTND4L NADH4L ND4L;MTND6 NADH6 ND6;None;None;None;None;None;None;None;None	NADH-ubiquinone oxidoreductase chain 1;NADH-ubiquinone oxidoreductase chain 2;NADH-ubiquinone oxidoreductase chain 3;NADH-ubiquinone oxidoreductase chain 4L;NADH-ubiquinone oxidoreductase chain 6;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3;NADH dehydrogenase [ubiquinone] 1 subunit C1, mitochondrial;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1;NADH dehydrogenase [ubiquinone] iron-sulfur protein 5
2927	Respiratory chain complex I (incomplete gamma subunit) mitochondrial	Bovine	NADH:ubiquinone oxidoreductase (EC 1.6.5.3) gamma subunit fragment	None	P03887;P03892;P03898;P03902;Q02376	None;None;3283884;3283885;282289	MI:0047-far western blotting;MI:0004-affinity chromatography technologies	GO:0006461;GO:0006818;GO:0022904;GO:0005743;GO:0006119;GO:0009060	protein complex assembly;hydrogen transport;respiratory electron transport chain;mitochondrial inner membrane;oxidative phosphorylation;aerobic respiration	14.10;20.01.15;02.11.07;70.16.05;02.13.03	assembly of protein complexes;electron transport;regulation of electron transport and membrane-associated energy conservation;mitochondrial inner membrane;aerobic respiration	MT-ND1;MT-ND2;MT-ND3;MT-ND4L;NDUFC1	None	10852722	Complex I couples the transfer of two electrons from NADH to ubiquinone to the translocation of four protons across the mitochondrial inner membrane.Complex I  is an L-shaped molecule with one arm embedded in the mitochondrial inner membane and one arm protruding into the matrix, the peripheral arm.The assembly of complex I is a semi-sequential process in which different preassembled subcomplexes are joined to form the holoenzyme.	None	Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine)	MTND1 NADH1 ND1;MTND2 NADH2 ND2;MTND3 NADH3 ND3;MTND4L NADH4L ND4L;None	NADH-ubiquinone oxidoreductase chain 1;NADH-ubiquinone oxidoreductase chain 2;NADH-ubiquinone oxidoreductase chain 3;NADH-ubiquinone oxidoreductase chain 4L;NADH dehydrogenase [ubiquinone] 1 subunit C1, mitochondrial
2928	Respiratory chain complex I (lambda subunit) mitochondrial	Bovine	NADH:ubiquinone oxidoreductase (EC 1.6.5.3) lambda subunit	None	P04394;P15690;P17694;P23709;P23934;P23935;P25708;P25712;P42026;P42028;P48305;Q02366;Q02370;Q02375;Q05752	None;288380;327697;287327;327691;327714;287014;327717;338079;287027;None;327670;None;327680;338063	MI:0047-far western blotting;MI:0004-affinity chromatography technologies	GO:0006461;GO:0006818;GO:0022904;GO:0005743;GO:0006119;GO:0009060	protein complex assembly;hydrogen transport;respiratory electron transport chain;mitochondrial inner membrane;oxidative phosphorylation;aerobic respiration	14.10;20.01.15;02.11.07;70.16.05;02.13.03	assembly of protein complexes;electron transport;regulation of electron transport and membrane-associated energy conservation;mitochondrial inner membrane;aerobic respiration	NDUFV2;NDUFS1;NDUFS2;NDUFS3;NDUFS6;NDUFA5;NDUFV1;NDUFV3;NDUFS7;NDUFS8;NDUFB4;NDUFA6;NDUFA2;NDUFS4;NDUFA7	None	10852722	Complex I couples the transfer of two electrons from NADH to ubiquinone to the translocation of four protons across the mitochondrial inner membrane.Complex I  is an L-shaped molecule with one arm embedded in the mitochondrial inner membane and one arm protruding into the matrix, the peripheral arm.The assembly of complex I is a semi-sequential process in which different preassembled subcomplexes are joined to form the holoenzyme.	None	Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine)	None;None;None;None;None;None;UQOR1;None;None;None;None;None;None;None;CI-B14-5A	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial;NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial;NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial;NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial;NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5;NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial;NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial;NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial;NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2;NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7
2929	Respiratory chain complex I (beta subunit) mitochondrial	Bovine	NADH:ubiquinone oxidoreductase (EC 1.6.5.3) beta subunit	None	P03910;P03920;P48305;P52505;Q02367;Q02368;Q02369;Q02372;Q02373;Q02374;Q02378;Q02380	3283886;None;None;327702;327665;338065;327660;282517;327701;327713;327690;338061	MI:0047-far western blotting;MI:0004-affinity chromatography technologies	GO:0006461;GO:0006818;GO:0022904;GO:0005743;GO:0006119;GO:0009060	protein complex assembly;hydrogen transport;respiratory electron transport chain;mitochondrial inner membrane;oxidative phosphorylation;aerobic respiration	14.10;20.01.15;02.11.07;70.16.05;02.13.03	assembly of protein complexes;electron transport;regulation of electron transport and membrane-associated energy conservation;mitochondrial inner membrane;aerobic respiration	MT-ND4;MT-ND5;NDUFB4;NDUFAB1;NDUFB6;NDUFB7;NDUFB9;NDUFB8;NDUFB10;NDUFB2;NDUFB1;NDUFB5	None	10852722	Complex I couples the transfer of two electrons from NADH to ubiquinone to the translocation of four protons across the mitochondrial inner membrane.Complex I  is an L-shaped molecule with one arm embedded in the mitochondrial inner membane and one arm protruding into the matrix, the peripheral arm.The assembly of complex I is a semi-sequential process in which different preassembled subcomplexes are joined to form the holoenzyme.	None	Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine)	MTND4 NADH4 ND4;MTND5 NADH5 ND5;None;None;None;None;UQOR22;None;None;None;None;None	NADH-ubiquinone oxidoreductase chain 4;NADH-ubiquinone oxidoreductase chain 5;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4;Acyl carrier protein, mitochondrial;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2, mitochondrial;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial
2930	SHARP-CtIP-RBP-Jkappa complex	Human	None	None	Q06330;Q96T58;Q99708	3516;23013;5932	MI:0007- anti tag coimmunoprecipitation	GO:0045892;GO:0003677;GO:0007219;GO:0005634	negative regulation of transcription, DNA-templated;DNA binding;Notch signaling pathway;nucleus	11.02.03.04.03;16.03.01;30.05.02.14;70.10	transcription repression;DNA binding;Notch-receptor signalling pathway;nucleus	RBPJ;SPEN;RBBP8	None	16287852	The ternary complex is formed only when both SHARP and CtIP are expressed.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	IGKJRB, IGKJRB1, RBPJK, RBPSUH, CBF1;KIAA0929 MINT SHARP;CTIP	Recombining binding protein suppressor of hairless;Msx2-interacting protein ;DNA endonuclease RBBP8
2931	SHARP-CtBP1-CtIP-RBP-Jkappa corepressor complex	Human	None	None	Q06330;Q13363;Q96T58;Q99708	3516;1487;23013;5932	MI:0232- transcriptional complementation assay; MI:0004- affinity chromatography technologies	GO:0045892;GO:0003677;GO:0007219;GO:0005634	negative regulation of transcription, DNA-templated;DNA binding;Notch signaling pathway;nucleus	11.02.03.04.03;16.03.01;30.05.02.14;70.10	transcription repression;DNA binding;Notch-receptor signalling pathway;nucleus	RBPJ;CTBP1;SPEN;RBBP8	None	16287852	The corepressor complex containing CtIP/CtBP probably facilitates RBP-Jkappa/SHARP-mediated repression of Notch target genes.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	IGKJRB, IGKJRB1, RBPJK, RBPSUH, CBF1;CTBP;KIAA0929 MINT SHARP;CTIP	Recombining binding protein suppressor of hairless;C-terminal-binding protein 1;Msx2-interacting protein ;DNA endonuclease RBBP8
2932	PTF1-L complex (Ptf1a, Tcf12, Rbpjl)	Rat	None	pancreas	O08674;P51514;Q64305	19668;25720;117034	MI:0412-electrophoretic mobility supershift assay	None	None	None	None	Rbpjl;Tcf12;Ptf1a	Since Rbpjl from rat was not available in the UniProt database at the time of annotation, the orthologous protein from mouse was used.	16354684	Transcriptional activity of PTF1 complex is independent of Notch signaling, because Ptf1a occupies the NotchIC docking site on Rbpj and Rbpl.	Mutations in Ptf1a are associated with pancreatic and cerebellar agenesis.	Mus musculus (Mouse);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	Rbpl Rbpsuhl;None;Ptf1p48	Recombining binding protein suppressor of hairless-like protein;Transcription factor 12;Pancreas transcription factor 1 subunit alpha
2933	PTF1-L complex (Ptf1a, Tcf4, Rbpjl)	Rat	None	pancreas	O08674;Q62655;Q64305	19668;84382;117034	MI:0412-electrophoretic mobility supershift assay	GO:2001141;GO:0006355;GO:0003677;GO:0031016;GO:0005634	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;pancreas development;nucleus	11.02.03.04;16.03.01;47.03.11.09;70.10	transcriptional control;DNA binding;pancreas;nucleus	Rbpjl;Tcf4;Ptf1a	Since Rbpjl from rat was not available in the UniProt database at the time of annotation, the orthologous protein from mouse was used.	16354684	Transcriptional activity of PTF1 complex is independent of Notch signaling, because Ptf1a occupies the NotchIC docking site on Rbpj and Rbpl.	Mutations in Ptf1a are associated with pancreatic and cerebellar agenesis.	Mus musculus (Mouse);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	Rbpl Rbpsuhl;Itf2 Sef2;Ptf1p48	Recombining binding protein suppressor of hairless-like protein;Transcription factor 4;Pancreas transcription factor 1 subunit alpha
2934	PTF1-L complex (Ptf1a, Tcf3, Rbpjl)	Rat	None	pancreas	O08674;P21677;Q64305	19668;171046;117034	MI:0412-electrophoretic mobility supershift assay	GO:2001141;GO:0006355;GO:0003677;GO:0031016;GO:0005634	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;pancreas development;nucleus	11.02.03.04;16.03.01;47.03.11.09;70.10	transcriptional control;DNA binding;pancreas;nucleus	Rbpjl;Tcf3;Ptf1a	Since Rbpjl from rat was not available in the UniProt database at the time of annotation, the orthologous protein from mouse was used.	16354684	Transcriptional activity of PTF1 complex is independent of Notch signaling, because Ptf1a occupies the NotchIC docking site on Rbpj and Rbpl.	Mutations in Ptf1a are associated with pancreatic and cerebellar agenesis.	Mus musculus (Mouse);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	Rbpl Rbpsuhl;Pan Ptf1c Tcfe2a;Ptf1p48	Recombining binding protein suppressor of hairless-like protein;Transcription factor E2-alpha;Pancreas transcription factor 1 subunit alpha
2935	PTF1 complex (Ptf1a, Tcf12, Rbpj)	Rat	None	pancreas	P31266;P51514;Q64305	19664;25720;117034	MI:0402-chromatin immunoprecipitation assays	GO:2001141;GO:0006355;GO:0003677;GO:0022008;GO:0048699;GO:0031016;GO:0005634	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;neurogenesis;generation of neurons;pancreas development;nucleus	11.02.03.04;16.03.01;41.05.13;47.03.11.09;70.10	transcriptional control;DNA binding;neurogenesis;pancreas;nucleus	Rbpj;Tcf12;Ptf1a	Since Rbpj from rat was not available in the UniProt database at the time of annotation, the orthologous protein from mouse was used.	16354684	Transcriptional activity of PTF1 complex is independent of Notch signaling, because Ptf1a occupies the NotchIC docking site on Rbpj and Rbpl.	Mutations in Ptf1a are associated with pancreatic and cerebellar agenesis.	Mus musculus (Mouse);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	Igkjrb1 Igkrsbp Rbpsuh;None;Ptf1p48	Recombining binding protein suppressor of hairless;Transcription factor 12;Pancreas transcription factor 1 subunit alpha
2936	Ecsit complex (ECSIT, MT-CO2, GAPDH, TRAF6, NDUFAF1)	Human	None	None	P00403;P04406;Q9BQ95;Q9Y375;Q9Y4K3	4513;2597;51295;51103;7189	MI:0047-far western blotting	GO:0006461;GO:0005739	protein complex assembly;mitochondrion	14.10;70.16	assembly of protein complexes;mitochondrion	MT-CO2;GAPDH;ECSIT;NDUFAF1;TRAF6	None	17344420	Ecsit is a cytosolic adaptor protein essential for inflammatory response and embryonic development via the Toll-like and BMP (bone morphogenetic protein) signal transduction pathways, respectively. Here, a mitochondrial function for Ecsit (an evolutionary conserved signaling intermediate in Toll pathways) in the assembly of mitochondrial complex I (NADH:ubiquinone oxidoreductase) has also been demonstrated. Ecsit isoform 1 copurifies with tandem affinity-purified NDUFAF1.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	COII COXII MTCO2;GAPD;None;CIA30;RNF85	Cytochrome c oxidase subunit 2;Glyceraldehyde-3-phosphate dehydrogenase;Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial;Complex I intermediate-associated protein 30, mitochondrial;TNF receptor-associated factor 6
2937	PTF1-bHLH complex	Human	None	pancreas	Q7RTS3;Q99081	256297;6938	MI:0412-electrophoretic mobility supershift assay	GO:2001141;GO:0006355;GO:0003677;GO:0031016;GO:0005634	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;pancreas development;nucleus	11.02.03.04;16.03.01;47.03.11.09;70.10	transcriptional control;DNA binding;pancreas;nucleus	PTF1A;TCF12	None	11562365	PTF1, containing P48 and a form of HEB, can bind to and mediate the acinar activity of the A element of the ELA1 gene enhancer.	None	Homo sapiens (Human);Homo sapiens (Human)	BHLHA29, PTF1P48;BHLHB20, HEB, HTF4	Pancreas transcription factor 1 subunit alpha;Transcription factor 12
2938	Ecsit complex (ECSIT, NDUFS3, TOM20)	Human	None	None	O75489;Q15388;Q9BQ95	4722;9804;51295	MI:0019- coimmunoprecipitation	GO:0006461;GO:0005739	protein complex assembly;mitochondrion	14.10;70.16	assembly of protein complexes;mitochondrion	NDUFS3;TOMM20;ECSIT	None	17344420	Ecsit is a cytosolic adaptor protein essential for inflammatory response and embryonic development via the Toll-like and BMP (bone morphogenetic protein) signal transduction pathways, respectively. Here, a mitochondrial function for Ecsit (an evolutionary conserved signaling intermediate in Toll pathways) in the assembly of mitochondrial complex I (NADH:ubiquinone oxidoreductase) has also been demonstrated. Ecsit isoform 1 copurifies with tandem affinity-purified NDUFAF1.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None;KIAA0016;None	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial;Mitochondrial import receptor subunit TOM20 homolog;Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial
2939	Ecsit complex (ECSIT, MT-CO2, NDUFA1, MT-ND1, TRAF6, NDUFAF1)	Human	None	None	O15239;P00403;P03886;Q9BQ95;Q9Y375;Q9Y4K3	4694;4513;4535;51295;51103;7189	MI:0019-coimmunoprecipitation	GO:0006461;GO:0005739	protein complex assembly;mitochondrion	14.10;70.16	assembly of protein complexes;mitochondrion	NDUFA1;MT-CO2;MT-ND1;ECSIT;NDUFAF1;TRAF6	None	17344420	Ecsit is a cytosolic adaptor protein essential for inflammatory response and embryonic development via the Toll-like and BMP (bone morphogenetic protein) signal transduction pathways, respectively. Here, a mitochondrial function for Ecsit (an evolutionary conserved signaling intermediate in Toll pathways) in the assembly of mitochondrial complex I (NADH:ubiquinone oxidoreductase) has also been demonstrated. Ecsit isoform 1 copurifies with tandem affinity-purified NDUFAF1.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None;COII COXII MTCO2;MTND1 NADH1 ND1;None;CIA30;RNF85	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1;Cytochrome c oxidase subunit 2;NADH-ubiquinone oxidoreductase chain 1;Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial;Complex I intermediate-associated protein 30, mitochondrial;TNF receptor-associated factor 6
2940	Acinar cell-specific C complex	Mouse	Pdx1-Pbx1b-Meis2 complex	pancreas	P41778;P52946;P97367	18514;18609;17536	MI:0412-electrophoretic mobility supershift assay	GO:0045893;GO:0031016;GO:0005634	positive regulation of transcription, DNA-templated;pancreas development;nucleus	11.02.03.04.01;47.03.11.09;70.10	transcription activation;pancreas;nucleus	Pbx1;Pdx1;Meis2	None	9710595	The association with PBX and MEIS partners controls the nature of the transcriptional activity of the organ-specific PDX1 transcription factor in exocrine versus endocrine cells.	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	Pbx-1;Ipf1;Mrg1, Stra10	Pre-B-cell leukemia transcription factor 1;Pancreas/duodenum homeobox protein 1;Homeobox protein Meis2
2941	Acinar cell-specific C complex	Mouse	Pdx1-Pbx1b-Meis2 complex	pancreas	P41778;P52946;P97367	18514;18609;17536	MI:0412-electrophoretic mobility supershift assay	GO:0045893;GO:0031016;GO:0005634	positive regulation of transcription, DNA-templated;pancreas development;nucleus	11.02.03.04.01;47.03.11.09;70.10	transcription activation;pancreas;nucleus	Pbx1;Pdx1;Meis2	MEIS2b isoform and possibly also MEIS2d isoform are present in the complex, but MEIS2a and MEIS2c isoforms are not.	11279116	This complex cooperates with PTF1-bHLH complex to activate transcription in pancreatic acinar cells.	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	Pbx-1;Ipf1;Mrg1, Stra10	Pre-B-cell leukemia transcription factor 1;Pancreas/duodenum homeobox protein 1;Homeobox protein Meis2
2942	Ecsit complex (ECSIT, NDUFS3, NDUFAF1)	Human	None	None	O75489;Q9BQ95;Q9Y375	4722;51295;51103	MI:0047-far western blotting	GO:0006461;GO:0005739	protein complex assembly;mitochondrion	14.10;70.16	assembly of protein complexes;mitochondrion	NDUFS3;ECSIT;NDUFAF1	None	17344420	Ecsit is a cytosolic adaptor protein essential for inflammatory response and embryonic development via the Toll-like and BMP (bone morphogenetic protein) signal transduction pathways, respectively. Here, a mitochondrial function for Ecsit (an evolutionary conserved signaling intermediate in Toll pathways) in the assembly of mitochondrial complex I (NADH:ubiquinone oxidoreductase) has also been demonstrated. Ecsit isoform 1 copurifies with tandem affinity-purified NDUFAF1.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None;None;CIA30	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial;Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial;Complex I intermediate-associated protein 30, mitochondrial
2943	Respiratory chain complex I (incomplete NDUFAF1 assembly), mitochondrial	Human	NADH:ubiquinone oxidoreductase (EC 1.6.5.3) incomplete intermediate	None	P03886;Q9Y375	4535;51103	MI:0019-coimmunoprecipitation	GO:0006461;GO:0006818;GO:0022904;GO:0005743;GO:0006119;GO:0009060	protein complex assembly;hydrogen transport;respiratory electron transport chain;mitochondrial inner membrane;oxidative phosphorylation;aerobic respiration	14.10;20.01.15;02.11.07;70.16.05;02.13.03	assembly of protein complexes;electron transport;regulation of electron transport and membrane-associated energy conservation;mitochondrial inner membrane;aerobic respiration	MT-ND1;NDUFAF1	None	16218961	Complex I is the first multiprotein complex of the OXPHOS system and participates in the formation of a proton gradient across the inner mitochondrial membrane coupled to transfer of electrons from NADH to ubiquinone.NDUFAF1 is a crucial component in the early assembly/stability of complex I.	None	Homo sapiens (Human);Homo sapiens (Human)	MTND1 NADH1 ND1;CIA30	NADH-ubiquinone oxidoreductase chain 1;Complex I intermediate-associated protein 30, mitochondrial
2944	Notch1-p56lck-PI3K complex	Human	None	None	P06239;P27986;P46531	3932;5295;4851	MI:0006- anti bait coimmunoprecipitation; MI:0007- anti tag coimmunoprecipitation	GO:0045893;GO:0007219;GO:0043066;GO:0030217	positive regulation of transcription, DNA-templated;Notch signaling pathway;negative regulation of apoptotic process;T cell differentiation	11.02.03.04.01;30.05.02.14;40.10.02.01;43.03.07.02.01.02	transcription activation;Notch-receptor signalling pathway;anti-apoptosis;T-cell	LCK;PIK3R1;NOTCH1	None	14583609	Anti-apoptotic function may result from elevated expression of anti-apoptotic genes like IAP-2, Bcl-xl or FLIP.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None;GRB1;TAN1	Tyrosine-protein kinase Lck;Phosphatidylinositol 3-kinase regulatory subunit alpha;Neurogenic locus notch homolog protein 1
2945	RBP-Jkappa-RING1-KyoT2 complex	Human	None	None	Q06330;Q06587;Q13642	3516;6015;2273	MI:0007-anti tag coimmunoprecipitation	GO:0045892;GO:0003677;GO:0005515;GO:0007219;GO:0005634	negative regulation of transcription, DNA-templated;DNA binding;protein binding;Notch signaling pathway;nucleus	11.02.03.04.03;16.03.01;16.01;30.05.02.14;70.10	transcription repression;DNA binding;protein binding;Notch-receptor signalling pathway;nucleus	RBPJ;RING1;FHL1	None	14999091	Overexpression of RING1 And KyoT2 inhibits transactivation of RBP-Jkappa by Notch.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	IGKJRB, IGKJRB1, RBPJK, RBPSUH, CBF1;RNF1;SLIM1	Recombining binding protein suppressor of hairless;E3 ubiquitin-protein ligase RING1;Four and a half LIM domains protein 1
